制度	0000	000000	は	0000	000000	、	B-S2
憲法	0000	000000	憲法	0000	000000	NO	B-E
項	0000	000000	に	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
理念	0000	000000	に	0000	000000	NO	I-E
基き	0000	000000	基き	0000	000000	、	I-E
老齢	0000	000000	老齢	0000	000000	、	I-E
又は	0000	000000	又は	0000	000000	NO	I-E
死亡	0000	000000	によって	0000	000000	NO	I-E
生活	0000	000000	の	0000	000000	NO	I-E
安定	0000	000000	が	0000	000000	NO	I-E
そこなわ	0000	000000	れる	0000	000000	NO	I-E
こと	0000	000000	を	0000	000000	NO	I-E
国民	0000	000000	の	0000	000000	NO	I-E
連帯	0000	000000	によって	0000	000000	NO	I-E
し	0000	000000	し	0000	000000	、	I-E
もっ	0000	000000	て	0000	000000	NO	I-E
健全	0000	000000	な	0000	000000	NO	I-E
生活	0000	000000	の	0000	000000	NO	I-E
及び	0000	000000	及び	0000	000000	NO	I-E
向上	0000	000000	に	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
こと	0000	000000	を	0000	000000	NO	I-E
目的	0000	000000	と	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	。	I-E

年金	0000	000000	は	0000	000000	、	B-S2
前条	0000	000000	の	0000	000000	NO	B-E
目的	0000	000000	を	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
ため	0000	000000	ため	0000	000000	、	I-E
国民	0000	000000	の	0000	000000	NO	I-E
老齢	0000	000000	老齢	0000	000000	、	I-E
又は	0000	000000	又は	0000	000000	NO	I-E
死亡	0000	000000	に関して	0000	000000	NO	I-E
必要	0000	000000	な	0000	000000	NO	I-E
給付	0000	000000	を	0000	000000	NO	I-E
行う	0000	000000	行う	0000	000000	NO	I-E
もの	0000	000000	と	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	。	I-E

事業	0000	000000	の	0000	000000	NO	B-S2
事務	0000	000000	の	0000	000000	NO	I-S2
一部	0000	000000	は	0000	000000	、	I-S2
政令	0000	000000	の	0000	000000	NO	B-E
定める	0000	000000	定める	0000	000000	NO	I-E
ところ	0000	000000	により	0000	000000	、	I-E
法律	0000	000000	によって	0000	000000	NO	I-E
さ	0000	000000	た	0000	000000	NO	I-E
組合	0000	000000	組合	0000	000000	、	I-E
会	0000	000000	会	0000	000000	、	I-E
会	0000	000000	会	0000	000000	、	I-E
又は	0000	000000	又は	0000	000000	NO	I-E
法	0000	000000	の	0000	000000	NO	I-E
規定	0000	000000	により	0000	000000	NO	I-E
制度	0000	000000	を	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
こと	0000	000000	と	0000	000000	NO	I-E
さ	0000	000000	た	0000	000000	NO	I-E
団	0000	000000	に	0000	000000	NO	I-E
行わ	0000	000000	せる	0000	000000	NO	I-E
こと	0000	000000	が	0000	000000	NO	I-E
できる	0000	000000	できる	0000	000000	。	I-E

事業	0000	000000	の	0000	000000	NO	B-S2
事務	0000	000000	の	0000	000000	NO	I-S2
一部	0000	000000	は	0000	000000	、	I-S2
政令	0000	000000	の	0000	000000	NO	B-E
定める	0000	000000	定める	0000	000000	NO	I-E
ところ	0000	000000	により	0000	000000	、	I-E
長	0000	000000	が	0000	000000	NO	I-E
行う	0000	000000	行う	0000	000000	NO	I-E
こと	0000	000000	と	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
こと	0000	000000	が	0000	000000	NO	I-E
できる	0000	000000	できる	0000	000000	。	I-E

以下	0000	000000	以下	0000	000000	NO	O
同じ	0000	000000	同じ	0000	000000	。	O

政府	0000	000000	は	0000	000000	、	B-S2
少なくとも	0000	000000	少なくとも	0000	000000	NO	B-E
ごと	0000	000000	に	0000	000000	、	I-E
及び	0000	000000	及び	0000	000000	NO	I-E
負担	0000	000000	の	0000	000000	NO	I-E
並びに	0000	000000	並びに	0000	000000	NO	I-E
この	0000	000000	この	0000	000000	NO	I-E
法律	0000	000000	による	0000	000000	NO	I-E
給付	0000	000000	に	0000	000000	NO	I-E
要する	0000	000000	要する	0000	000000	NO	I-E
費用	0000	000000	の	0000	000000	NO	I-E
その他	0000	000000	の	0000	000000	NO	I-E
事業	0000	000000	の	0000	000000	NO	I-E
財政	0000	000000	に	0000	000000	NO	I-E
係る	0000	000000	係る	0000	000000	NO	I-E
収支	0000	000000	について	0000	000000	NO	I-E
その	0000	000000	その	0000	000000	NO	I-E
及び	0000	000000	及び	0000	000000	NO	I-E
期間	0000	000000	における	0000	000000	NO	I-E
見通し	0000	000000	を	0000	000000	NO	I-E
し	0000	000000	ない	0000	000000	。	I-E

前項	0000	000000	の	0000	000000	NO	B-S2
期間	0000	000000	は	0000	000000	、	I-S2
財政	0000	000000	の	0000	000000	NO	B-E
及び	0000	000000	及び	0000	000000	NO	I-E
見通し	0000	000000	が	0000	000000	NO	I-E
さ	0000	000000	れる	0000	000000	NO	I-E
以降	0000	000000	以降	0000	000000	NO	I-E
おおむね	0000	000000	おおむね	0000	000000	NO	I-E
年間	0000	000000	と	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	。	I-E

この	0000	000000	この	0000	000000	NO	B-S2
法律	0000	000000	に	0000	000000	NO	I-S2
する	0000	000000	する	0000	000000	NO	I-S2
長官	0000	000000	の	0000	000000	NO	I-S2
権限	0000	000000	の	0000	000000	NO	I-S2
一部	0000	000000	は	0000	000000	、	I-S2
政令	0000	000000	の	0000	000000	NO	B-E
定める	0000	000000	定める	0000	000000	NO	I-E
ところ	0000	000000	により	0000	000000	、	I-E
局長	0000	000000	に	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
こと	0000	000000	が	0000	000000	NO	I-E
できる	0000	000000	できる	0000	000000	。	I-E

前項	0000	000000	の	0000	000000	NO	B-S2
規定	0000	000000	により	0000	000000	NO	I-S2
局長	0000	000000	に	0000	000000	NO	I-S2
さ	0000	000000	た	0000	000000	NO	I-S2
権限	0000	000000	の	0000	000000	NO	I-S2
又は	0000	000000	又は	0000	000000	NO	I-S2
一部	0000	000000	は	0000	000000	、	I-S2
政令	0000	000000	の	0000	000000	NO	B-E
定める	0000	000000	定める	0000	000000	NO	I-E
ところ	0000	000000	により	0000	000000	、	I-E
長	0000	000000	に	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
こと	0000	000000	が	0000	000000	NO	I-E
できる	0000	000000	できる	0000	000000	。	I-E

及び	0000	000000	及び	0000	000000	NO	B-S2
並びに	0000	000000	並びに	0000	000000	NO	I-S2
及び	0000	000000	及び	0000	000000	NO	I-S2
項	0000	000000	の	0000	000000	NO	I-S2
規定	0000	000000	により	0000	000000	NO	I-S2
市町村	0000	000000	が	0000	000000	NO	I-S2
する	0000	000000	する	0000	000000	NO	I-S2
こと	0000	000000	と	0000	000000	NO	I-S2
さ	0000	000000	いる	0000	000000	NO	I-S2
並びに	0000	000000	並びに	0000	000000	NO	I-S2
附則	0000	000000	附則	0000	000000	NO	I-S2
条	0000	000000	の	0000	000000	NO	I-S2
四	0000	000000	の	0000	000000	NO	I-S2
規定	0000	000000	により	0000	000000	NO	I-S2
市町村	0000	000000	が	0000	000000	NO	I-S2
する	0000	000000	する	0000	000000	NO	I-S2
こと	0000	000000	と	0000	000000	NO	I-S2
さ	0000	000000	れる	0000	000000	NO	I-S2
事務	0000	000000	は	0000	000000	、	I-S2
法	0000	000000	法	0000	000000	NO	B-E
条	0000	000000	条	0000	000000	NO	I-E
号	0000	000000	に	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	NO	I-E
事務	0000	000000	と	0000	000000	NO	I-E
する	0000	000000	する	0000	000000	。	I-E

この	0000	000000	この	0000	000000	NO	B-EL
法律	0000	000000	において	0000	000000	、	I-EL
法	0000	000000	は	0000	000000	、	I-EL
次	0000	000000	の	0000	000000	NO	B-ER
号	0000	000000	に	0000	000000	NO	I-ER
掲げる	0000	000000	掲げる	0000	000000	NO	I-ER
法律	0000	000000	を	0000	000000	NO	I-ER
いう	0000	000000	いう	0000	000000	。	I-ER

この	0000	000000	この	0000	000000	NO	B-EL
法律	0000	000000	において	0000	000000	、	I-EL
期間	0000	000000	は	0000	000000	、	I-EL
号	0000	000000	に	0000	000000	NO	B-ER
する	0000	000000	する	0000	000000	NO	I-ER
者	0000	000000	の	0000	000000	NO	I-ER
期間	0000	000000	の	0000	000000	NO	I-ER
うち	0000	000000	うち	0000	000000	NO	I-ER
さ	0000	000000	た	0000	000000	NO	I-ER
料	0000	000000	に	0000	000000	NO	I-ER
係る	0000	000000	係る	0000	000000	NO	I-ER
もの	0000	000000	もの	0000	000000	、	I-ER
項	0000	000000	項	0000	000000	NO	I-ER
号	0000	000000	に	0000	000000	NO	I-ER
する	0000	000000	する	0000	000000	NO	I-ER
者	0000	000000	の	0000	000000	NO	I-ER
及び	0000	000000	及び	0000	000000	NO	I-ER
項	0000	000000	項	0000	000000	NO	I-ER
号	0000	000000	に	0000	000000	NO	I-ER
する	0000	000000	する	0000	000000	NO	I-ER
者	0000	000000	の	0000	000000	NO	I-ER
期間	0000	000000	を	0000	000000	NO	I-ER
し	0000	000000	た	0000	000000	NO	I-ER
期間	0000	000000	を	0000	000000	NO	I-ER
いう	0000	000000	いう	0000	000000	。	I-ER

この	0000	000000	この	0000	000000	NO	B-EL
法律	0000	000000	において	0000	000000	、	I-EL
期間	0000	000000	は	0000	000000	、	I-EL
期間	0000	000000	期間	0000	000000	、	B-ER
料	0000	000000	料	0000	000000	NO	I-ER
三	0000	000000	三	0000	000000	NO	I-ER
期間	0000	000000	期間	0000	000000	、	I-ER
及び	0000	000000	及び	0000	000000	NO	I-ER
料	0000	000000	料	0000	000000	NO	I-ER
一	0000	000000	一	0000	000000	NO	I-ER
期間	0000	000000	を	0000	000000	NO	I-ER
し	0000	000000	た	0000	000000	NO	I-ER
期間	0000	000000	を	0000	000000	NO	I-ER
いう	0000	000000	いう	0000	000000	。	I-ER

この	0000	000000	この	0000	000000	NO	B-EL
法律	0000	000000	において	0000	000000	、	I-EL
期間	0000	000000	は	0000	000000	、	I-EL
号	0000	000000	に	0000	000000	NO	B-ER
する	0000	000000	する	0000	000000	NO	I-ER
者	0000	000000	の	0000	000000	NO	I-ER
期間	0000	000000	て	0000	000000	NO	I-ER
条	0000	000000	条	0000	000000	、	I-ER
又は	0000	000000	又は	0000	000000	NO	I-ER
条	0000	000000	の	0000	000000	NO	I-ER
三	0000	000000	三	0000	000000	NO	I-ER
項	0000	000000	の	0000	000000	NO	I-ER
規定	0000	000000	により	0000	000000	NO	I-ER
する	0000	000000	する	0000	000000	NO	I-ER
こと	0000	000000	を	0000	000000	NO	I-ER
要し	0000	000000	ない	0000	000000	NO	I-ER
もの	0000	000000	と	0000	000000	NO	I-ER
さ	0000	000000	た	0000	000000	NO	I-ER
料	0000	000000	に	0000	000000	NO	I-ER
係る	0000	000000	係る	0000	000000	NO	I-ER
ものの	0000	000000	ものの	0000	000000	NO	I-ER
うち	0000	000000	うち	0000	000000	、	I-ER
項	0000	000000	の	0000	000000	NO	I-ER
規定	0000	000000	により	0000	000000	NO	I-ER
さ	0000	000000	た	0000	000000	NO	I-ER
もの	0000	000000	と	0000	000000	NO	I-ER
みなさ	0000	000000	れる	0000	000000	NO	I-ER
料	0000	000000	に	0000	000000	NO	I-ER
係る	0000	000000	係る	0000	000000	NO	I-ER
期間	0000	000000	を	0000	000000	NO	I-ER
除い	0000	000000	た	0000	000000	NO	I-ER
もの	0000	000000	を	0000	000000	NO	I-ER
し	0000	000000	た	0000	000000	NO	I-ER
期間	0000	000000	を	0000	000000	NO	I-ER
いう	0000	000000	いう	0000	000000	。	I-ER

この	0000	000000	この	0000	000000	NO	B-EL
法律	0000	000000	において	0000	000000	、	I-EL
料	0000	000000	料	0000	000000	NO	I-EL
分の	0000	000000	分の	0000	000000	NO	I-EL
期間	0000	000000	は	0000	000000	、	I-EL
号	0000	000000	に	0000	000000	NO	B-ER
